Area,PostCode,Lat,Lon
LA SALLE,48145,41.8482241,-83.4696898
LUNA PIER,48157,41.8047858,-83.4456801
MAYBEE,48159,42.0262329,-83.5603112
MONROE,48161,41.913413,-83.4856913
MONROE,48162,41.9480522,-83.4003037
NEWPORT,48166,41.9905829,-83.2827093
MONTGOMERY,49255,41.7858529,-84.8776392
MONTROSE,48457,43.184723,-83.8685072
MORENCI,49256,41.7193747,-84.2178842
CLINTON TOWNSHIP,48035,42.5573163,-82.9178838
CLINTON TOWNSHIP,48036,42.5813695,-82.9125036
CLINTON TOWNSHIP,48038,42.5976588,-82.9394002
MACOMB,48042,42.6937328,-82.9178838
MOUNT CLEMENS,48043,42.5988654,-82.8802133
MACOMB,48044,42.6547932,-82.9178838
HARRISON TOWNSHIP,48045,42.5896119,-82.8101975
MOUNT MORRIS,48458,43.1073121,-83.6880257
MUNITH,49259,42.3780782,-84.2594861
NEW BALTIMORE,48047,42.664829,-82.7670745
NEW BALTIMORE,48051,42.6883667,-82.8317486
NEW BOSTON,48164,42.134752,-83.3896222
NEW HAVEN,48048,42.7440097,-82.7886395
NEW HAVEN,48050,42.7842331,-82.8101975
NEW HUDSON,48165,42.5057554,-83.6188793
NEW LOTHROP,48460,43.123313,-83.985008
NORTH ADAMS,49262,41.9551408,-84.4697663
NORTH BRANCH,48461,43.1872335,-83.2291862
NORTH STREET,48049,43.0313165,-82.5834947
NORTHVILLE,48167,42.4312595,-83.483215
NORTHVILLE,48168,42.4021228,-83.6029116
NOVI,48374,42.4756294,-83.517682
NOVI,48375,42.4719897,-83.4536844
NOVI,48377,42.5123116,-83.4750241
ONONDAGA,49264,42.431637,-84.5536678
ONSTED,49265,42.0289489,-84.1646163
ORTONVILLE,48462,42.8513948,-83.4430118
OSSEO,49266,41.849783,-84.5431867
OTISVILLE,48463,43.165979,-83.528342
OTTAWA LAKE,49267,41.7669312,-83.6986568
OTTER LAKE,48464,43.208728,-83.4323375
OXFORD,48370,42.8467392,-83.1970511
OXFORD,48371,42.8414657,-83.2720082
PALMYRA,49268,41.8680835,-83.9214896
PARMA,49269,42.2859231,-84.5850997
PECK,48466,43.276518,-82.7994194
PETERSBURG,49270,41.8461748,-83.6986568
PINCKNEY,48169,42.4505198,-83.9532571
PITTSFORD,49271,41.8061259,-84.4592701
PLEASANT LAKE,49272,42.4018714,-84.3436881
PLYMOUTH,48170,42.3789443,-83.5390002
WEST BLOOMFIELD,48322,42.5440126,-83.3468784
WEST BLOOMFIELD,48323,42.5693497,-83.3629107
WEST BLOOMFIELD,48324,42.6050452,-83.3896222
AUBURN HILLS,48326,42.6742723,-83.2398943
PONTIAC,48340,42.6722375,-83.2880591
PONTIAC,48341,42.624141,-83.2987576
PONTIAC,48342,42.642381,-83.277359
PORT AUSTIN,48467,44.0156065,-83.0146526
PORT HOPE,48468,43.9642956,-82.7994194
FORT GRATIOT,48059,43.1029061,-82.4969331
PORT HURON,48060,42.9751872,-82.4644445
PORT SANILAC,48469,43.4238357,-82.5510469
READING,49274,41.819882,-84.7524482
RICHMOND,48062,42.8090897,-82.7558838
COLUMBUS,48063,42.8432693,-82.669947
CASCO,48064,42.765613,-82.669947
RIGA,49276,41.7820478,-83.7942551
RIVES JUNCTION,49277,42.3884095,-84.4697663
ROCHESTER,48306,42.7172064,-83.1434573
ROCHESTER,48307,42.6678914,-83.1327332
ROCHESTER,48309,42.6509755,-83.1756188
OAKLAND,48363,42.7664746,-83.1541796
ROCKWOOD,48173,42.0708162,-83.2465794
ROMEO,48065,42.8467589,-83.0361376
RAY,48096,42.743032,-82.9286428
ROMULUS,48174,42.22225,-83.3966271
ROSEVILLE,48066,42.5000719,-82.9394002
ROYAL OAK,48067,42.4922946,-83.1327332
PLEASANT RIDGE,48069,42.4711067,-83.146138
HUNTINGTON WOODS,48070,42.4821633,-83.1675799
MADISON HEIGHTS,48071,42.5053384,-83.1059154
BERKLEY,48072,42.5007019,-83.1916937
ROYAL OAK,48073,42.5183235,-83.15954
RUTH,48470,43.7333734,-82.7562895
SALINE,48176,42.1689208,-83.8260884
SAND CREEK,49279,41.7976797,-84.0907246
SANDUSKY,48471,43.4328969,-82.8425216
SMITHS CREEK,48074,42.9511374,-82.5402275
SNOVER,48472,43.5175779,-82.9716617
SOMERSET CENTER,49282,42.0358078,-84.4015075
FRANKLIN,48025,42.5246737,-83.266657
SOUTHFIELD,48033,42.4620892,-83.2827093
SOUTHFIELD,48034,42.4966195,-83.2880591
SOUTHFIELD,48075,42.4595697,-83.2398943
SOUTHFIELD,48076,42.4986723,-83.2398943
SOUTH LYON,48178,42.4344566,-83.6561215
SOUTH ROCKWOOD,48179,42.0484941,-83.2613054
SPRING ARBOR,49283,42.1959178,-84.5536678
SPRINGPORT,49284,42.3703386,-84.7106567
EAST CHINA,48054,42.7572207,-82.5402275
SAINT CLAIR,48079,42.8736587,-82.5402275
SAINT CLAIR SHORES,48080,42.4635441,-82.9017419
SAINT CLAIR SHORES,48081,42.4974085,-82.8963604
SAINT CLAIR SHORES,48082,42.5248254,-82.8850919
STOCKBRIDGE,49285,42.4636132,-84.2067992
SWARTZ CREEK,48473,42.9503143,-83.8260884
TAYLOR,48180,42.2164077,-83.2720082
TECUMSEH,49286,42.0064623,-83.9214896
TEMPERANCE,48182,41.7598544,-83.570964
TRENTON,48183,42.1352293,-83.2291862
TROY,48083,42.5496035,-83.1112798
TROY,48084,42.5586572,-83.1809776
TROY,48085,42.6081355,-83.1112798
TROY,48098,42.5924867,-83.1756188
UBLY,48475,43.6705394,-82.9716617
STERLING HEIGHTS,48310,42.5665296,-83.0683519
STERLING HEIGHTS,48312,42.562608,-83.0039075
STERLING HEIGHTS,48313,42.5964176,-82.9985343
STERLING HEIGHTS,48314,42.6055433,-83.0683519
UTICA,48315,42.6795602,-83.0039075
UTICA,48316,42.6834831,-83.0683519
UTICA,48317,42.6432249,-83.0468775
WALDRON,49288,41.7267545,-84.4592701
COMMERCE TOWNSHIP,48382,42.5928553,-83.517682
WALLED LAKE,48390,42.5513866,-83.4750241
WARREN,48088,42.5222495,-82.9824121
WARREN,48089,42.464947,-83.0039075
WARREN,48091,42.4688673,-83.0683519
WARREN,48092,42.5079541,-83.0683519
WARREN,48093,42.5190114,-83.0092803
WASHINGTON,48094,42.7405578,-83.0468775
WASHINGTON,48095,42.7794397,-83.0468775
WATERFORD,48327,42.645278,-83.4109834
WATERFORD,48328,42.6415701,-83.3468784
WATERFORD,48329,42.6830185,-83.3896222
WHITE LAKE,48383,42.6525745,-83.5390002
WHITE LAKE,48386,42.6489461,-83.4750241
WAYNE,48184,42.27757,-83.3949632
WESTLAND,48185,42.3358116,-83.3842808
WESTLAND,48186,42.295963,-83.3735966
CANTON,48187,42.3373253,-83.4963567
CANTON,48188,42.3047219,-83.4819418
WHITMORE LAKE,48189,42.4022733,-83.7836403
WILLIS,48191,42.1247778,-83.5603112
WIXOM,48393,42.5159385,-83.5390002
WYANDOTTE,48192,42.204837,-83.15954
RIVERVIEW,48193,42.1742229,-83.1793408
SOUTHGATE,48195,42.2021569,-83.1970511
YALE,48097,43.1250863,-82.8425216
YPSILANTI,48197,42.1966292,-83.6135572
YPSILANTI,48198,42.2728525,-83.570964
ADA,49301,42.9894927,-85.4994192
AFTON,49705,45.334226,-84.4537387
AKRON,48701,43.5911722,-83.570964
ALANSON,49706,45.4230734,-84.737474
ALDEN,49612,44.8828494,-85.2515482
ALGER,48610,44.1180745,-84.1646163
ALLEGAN,49010,42.5166512,-85.8895551
ALLENDALE,49401,42.9674954,-85.9508923
ALMA,48801,43.3789816,-84.6688348
ALPENA,49707,45.0765963,-83.490932
ALTO,49302,42.8307357,-85.4169211
ARCADIA,49613,44.515578,-86.2056843
ASHLEY,48806,43.1782627,-84.5012435
ATHENS,49011,42.116777,-85.2101269
ATLANTA,49709,45.0393666,-84.1903585
ATLANTIC MINE,49905,47.1095441,-88.7155524
AUBURN,48611,43.6036929,-84.0895376
AU GRES,48703,44.08859,-83.6135572
AUGUSTA,49012,42.3581142,-85.3342973
AU TRAIN,49806,46.415164,-86.8461149
BAILEY,49303,43.2829233,-85.8383857
BALDWIN,49304,43.9263941,-85.8690933
BANGOR,49013,42.3085102,-86.1141045
BANNISTER,48807,43.144703,-84.406761
BARAGA,49908,46.7964299,-88.5243087
BARBEAU,49710,46.2721701,-84.1794626
BARK RIVER,49807,45.7102405,-87.3048527
BARODA,49101,41.9553733,-86.4895463
BARRYTON,49305,43.7463358,-85.1686743
BARTON CITY,48705,44.6933017,-83.6561215
BATH,48808,42.8273575,-84.4592701
BATTLE CREEK,49014,42.3477418,-85.0856761
BATTLE CREEK,49015,42.2743768,-85.2101269
BATTLE CREEK,49017,42.3905327,-85.1686743
BATTLE CREEK,49037,42.3256788,-85.2618987
BAY CITY,48706,43.5940178,-83.9744262
BAY CITY,48708,43.5692371,-83.8685072
BAY PORT,48720,43.8359971,-83.3468784
BEAR LAKE,49614,44.4277352,-86.1141045
BEAVERTON,48612,43.8647549,-84.4172666
BELDING,48809,43.057058,-85.2515482
BELLAIRE,49615,44.9553719,-85.2008005
BELLEVUE,49021,42.465457,-85.0856761
BELMONT,49306,43.0811377,-85.612648
BENTON HARBOR,49022,42.1193949,-86.357952
BENZONIA,49616,44.5769402,-86.0733498
BERGLAND,49910,46.5347681,-89.5846414
BERRIEN CENTER,49102,41.9483586,-86.2666463
BERRIEN SPRINGS,49103,41.9624632,-86.3984793
BESSEMER,49911,46.4970099,-90.0196568
BEULAH,49617,44.6409131,-86.0223611
BIG RAPIDS,49307,43.6833235,-85.4994192
BITELY,49309,43.7553794,-85.8895551
BLANCHARD,49310,43.5111682,-85.0441304
BLOOMINGDALE,49026,42.3815071,-85.9508923
BOON,49618,44.3329398,-85.5817911
BOYNE CITY,49712,45.2280272,-85.0068118
BOYNE FALLS,49713,45.2028639,-84.8628685
BRANCH,49402,43.9138274,-86.0529604
BRANT,48614,43.2451756,-84.2910759
BRECKENRIDGE,48615,43.3710512,-84.5012435
BRETHREN,49619,44.3088134,-85.9508923
BRIDGEPORT,48722,43.3467932,-83.8366958
BRIDGMAN,49106,41.9373934,-86.5501654
BRIMLEY,49715,46.4323632,-84.7032861
BRONSON,49028,41.8398553,-85.2101269
BRUCE CROSSING,49912,46.5517439,-89.1645275
BRUTUS,49716,45.5078487,-84.732578
BUCHANAN,49107,41.8435012,-86.3984793
BUCKLEY,49620,44.5261055,-85.7051116
BURLINGTON,49029,42.1509646,-85.0856761
BURR OAK,49030,41.8472624,-85.3185354
BYRON CENTER,49315,42.8044722,-85.7461548
CADILLAC,49601,44.2722287,-85.4788065
CALEDONIA,49316,42.796666,-85.5406209
ALLOUEZ,49805,47.3401101,-88.4119976
CALUMET,49913,47.2432514,-88.4801452
CARNEY,49812,45.5915795,-87.4656397
CARO,48723,43.4844321,-83.3789389
CARP LAKE,49718,45.7350949,-84.9389505
CARSON CITY,48811,43.1938484,-84.8359395
CASEVILLE,48725,43.9526499,-83.2291862
CASNOVIA,49318,43.2249907,-85.8383857
CASS CITY,48726,43.6223914,-83.1220074
CASSOPOLIS,49031,41.9093914,-85.9917437
CEDAR,49621,44.8665034,-85.7871663
CEDAR SPRINGS,49319,43.2234502,-85.5406209
CEDARVILLE,49719,46.0309332,-84.3387489
CENTRAL LAKE,49622,45.0702432,-85.2653517
CENTREVILLE,49032,41.9213069,-85.5097226
CERESCO,49033,42.2203634,-85.0960576
CHAMPION,49814,46.5363334,-87.9423144
CHANNING,49815,46.2106074,-87.9860476
CHARLEVOIX,49720,45.2938794,-85.22816
CHARLOTTE,48813,42.5514396,-84.8150781
